feature,importance_mean,importance_std
Focus_NoneUnknown,0.0,0.0
MASCC,0.0,0.0
Mets_Missing,0.0,0.0
UTI,0.0,0.0
Focus_Bloodstream,0.0,0.0
Focus_GI_Hepatobiliary,0.0,0.0
Focus_SoftTissue,0.0,0.0
Comorb,0.00033587509077698995,0.0019184049850860365
Type,0.0009652626482691273,0.0006050971257235467
Neutropenia,0.0036552892762042434,0.0031245362100704747
Line_Rx,0.00568566932946013,0.002820667937294734
Gender,0.0072076978939723205,0.004208741047948958
Age_Group,0.007358992979907933,0.004140198803558105
Mets_Binary,0.00881445170660851,0.003440785562037147
Focus_PneumResp,0.009622367465504685,0.005095765834188818
qSOFA,0.01156197046719916,0.008536083765355808
Hypotension_Level,0.2527475187605906,0.03862488292713396
